Mt CO2 per day,daily mean CO2
1751,0.02
1752,0.02
1753,0.02
1754,0.02
1755,0.02
1756,0.03
1757,0.03
1758,0.03
1759,0.03
1760,0.03
1761,0.03
1762,0.03
1763,0.03
1764,0.03
1765,0.03
1766,0.03
1767,0.03
1768,0.03
1769,0.03
1770,0.03
1771,0.04
1772,0.04
1773,0.04
1774,0.04
1775,0.04
1776,0.04
1777,0.04
1778,0.04
1779,0.04
1780,0.04
1781,0.04
1782,0.04
1783,0.04
1784,0.04
1785,0.04
1786,0.05
1787,0.05
1788,0.05
1789,0.05
1790,0.05
1791,0.06
1792,0.06
1793,0.06
1794,0.06
1795,0.06
1796,0.06
1797,0.06
1798,0.07
1799,0.07
1800,0.07
1801,0.07
1802,0.10
1803,0.08
1804,0.09
1805,0.09
1806,0.09
1807,0.10
1808,0.09
1809,0.09
1810,0.10
1811,0.10
1812,0.11
1813,0.11
1814,0.11
1815,0.11
1816,0.12
1817,0.13
1818,0.13
1819,0.13
1820,0.13
1821,0.13
1822,0.14
1823,0.15
1824,0.15
1825,0.16
1826,0.16
1827,0.17
1828,0.17
1829,0.17
1830,0.23
1831,0.22
1832,0.22
1833,0.23
1834,0.23
1835,0.24
1836,0.27
1837,0.27
1838,0.28
1839,0.29
1840,0.31
1841,0.32
1842,0.34
1843,0.35
1844,0.37
1845,0.40
1846,0.41
1847,0.45
1848,0.45
1849,0.48
1850,0.51
1851,0.52
1852,0.54
1853,0.56
1854,0.66
1855,0.68
1856,0.72
1857,0.73
1858,0.74
1859,0.78
1860,0.86
1861,0.91
1862,0.92
1863,0.98
1864,1.06
1865,1.13
1866,1.16
1867,1.24
1868,1.27
1869,1.36
1870,1.39
1871,1.47
1872,1.63
1873,1.73
1874,1.62
1875,1.76
1876,1.78
1877,1.82
1878,1.83
1879,1.96
1880,2.22
1881,2.30
1882,2.43
1883,2.58
1884,2.60
1885,2.63
1886,2.67
1887,2.80
1888,3.10
1889,3.10
1890,3.38
1891,3.54
1892,3.56
1893,3.52
1894,3.65
1895,3.87
1896,3.98
1897,4.18
1898,4.41
1899,4.82
1900,5.07
1901,5.25
1902,5.38
1903,5.87
1904,5.92
1905,6.32
1906,6.64
1907,7.51
1908,7.20
1909,7.51
1910,7.87
1911,8.02
1912,8.37
1913,9.09
1914,8.24
1915,8.13
1916,8.75
1917,9.18
1918,9.06
1919,7.85
1920,9.10
1921,8.01
1922,8.40
1923,9.53
1924,9.53
1925,9.63
1926,9.48
1927,10.35
1928,10.36
1929,11.17
1930,10.32
1931,9.22
1932,8.30
1933,8.76
1934,9.53
1935,10.01
1936,10.96
1937,11.77
1938,11.10
1939,11.72
1940,12.73
1941,13.08
1942,13.12
1943,13.57
1944,13.45
1945,11.28
1946,12.31
1947,13.63
1948,14.29
1949,13.65
1950,15.39
1951,16.60
1952,16.78
1953,17.30
1954,17.68
1955,19.38
1956,20.57
1957,21.31
1958,21.92
1959,23.06
1960,24.26
1961,24.38
1962,25.24
1963,26.67
1964,27.99
1965,29.36
1966,30.73
1967,31.71
1968,33.35
1969,35.67
1970,38.96
1971,38.75
1972,40.57
1973,43.03
1974,42.95
1975,43.08
1976,45.30
1977,46.96
1978,48.46
1979,49.89
1980,49.29
1981,48.72
1982,48.23
1983,48.57
1984,50.02
1985,50.89
1986,51.84
1987,53.65
1988,55.37
1989,56.59
1990,57.61
1991,57.93
1992,57.70
1993,58.25
1994,58.71
1995,60.37
1996,61.49
1997,62.44
1998,62.80
1999,63.28
2000,65.23
2001,66.41
2002,67.66
2003,70.75
2004,73.94
2005,76.90
2006,79.53
2007,82.83
2008,83.04
2009,82.23
2010,87.09
2011,89.87
2012,90.47
2013,92.22
2014,93.00
2015,92.84
2016,93.71
2017,95.08
2018,96.84
2019,98.21
2020,88.46
